iata,name,city,country,region,lat,lon,size
AAA,Anaa Airport,Anaa,PF,PF-U-A,-17.3526,-145.509995,medium
AAC,El Arish International Airport,El Arish,EG,EG-SIN,31.055324,33.827964,large
AAE,Annaba Rabah Bitat Airport,Annaba,DZ,DZ-23,36.826781,7.81334,large
AAK,Aranuka Airport,Buariki,KI,KI-G,0.185278,173.636993,small
AAL,Aalborg Airport,Aalborg,DK,DK-81,57.094763,9.84993,large
AAN,Al Ain International Airport,Al Ain,AE,AE-AZ,24.2617,55.6092,large
AAP,Aji Pangeran Tumenggung Pranoto International Airport,Samarinda,ID,ID-KI,-0.374478,117.250128,medium
AAQ,Anapa Vityazevo Airport,Krasnyi Kurgan,RU,RU-KDA,45.002102,37.347301,medium
AAR,Aarhus Airport,Aarhus,DK,DK-82,56.303331,10.618286,large
AAT,Altay Xuedu Airport,Altay,CN,CN-65,47.749886,88.085808,medium
AAX,Romeu Zema Airport,Araxá,BR,BR-MG,-19.5632,-46.9604,medium
AAY,Al Ghaydah International Airport,Al Ghaydah,YE,YE-MR,16.193341,52.174186,medium
AAZ,Quezaltenango Airport,Quezaltenango,GT,GT-QZ,14.8656,-91.501999,small
ABA,Abakan International Airport,Abakan,RU,RU-KK,53.740002,91.385002,large
ABB,Asaba International Airport,Asaba,NG,NG-DE,6.204167,6.665278,large
ABD,Abadan Ayatollah Jami International Airport,Abadan,IR,IR-06,30.367887,48.230075,large
ABE,Lehigh Valley International Airport,Allentown/Bethlehem,US,US-PA,40.651773,-75.442797,medium
ABI,Abilene Regional Airport,Abilene,US,US-TX,32.4113006592,-99.68190002440001,medium
ABJ,Félix-Houphouët-Boigny International Airport,Abidjan,CI,CI-AB,5.26139,-3.92629,large
ABK,Kebri Dahar Airport,Kebri Dahar,ET,ET-SO,6.732577,44.241339,medium
ABL,Ambler Airport,Ambler,US,US-AK,67.105529,-157.855339,medium
ABM,Northern Peninsula Airport,Bamaga,AU,AU-QLD,-10.946194,142.455081,small
ABQ,Albuquerque International Sunport,Albuquerque,US,US-NM,35.039976,-106.608925,large
ABR,Aberdeen Regional Airport,Aberdeen,US,US-SD,45.449100494384766,-98.42179870605469,medium
ABS,Abu Simbel Airport,Abu Simbel,EG,EG-ASN,22.375924,31.611734,medium
